"group","addto"
"ROLE_T2_Workstation Admin","COMPTR_Default Container_CREATE"
"ROLE_T2_Workstation Admin","COMPTR_Default Container_DEL"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_MOD"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_RENAME"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_DEL"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_CREATE"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_MOVE"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_LOCAL ADM"
"ROLE_T2_Workstation Admin","OU_Tier 2 Workstations_LINK GPO"
"ROLE_T2_Workstation Admin","GPO_Tier 2 Workstations_MOD"
"ROLE_T2_GPO Creator","Group Policy Creator Owners"
"ROLE_T2_User Admin","USR_Disabled users OU_ADD"
"ROLE_T2_User Admin","USR_Corporate Users PW_RST"
"ROLE_T2_User Admin","USR_Corporate Users_UNLOCK"
"ROLE_T2_User Admin","USR_Corporate Users_MANAGE"
"ROLE_T2_User Admin","USR_Corporate Users_DISBL"
"ROLE_T2_User Admin","USR_Corporate Users_DEL"
"ROLE_T2_User Admin","OU_Corporate Users_LINK GPO"
"ROLE_T2_User Admin","GPO_Corporate Users_MOD"
"ROLE_T2_Corporate Access Control Manager","GRP_Roles_MEMBERSHIP"
"ROLE_T2_Helpdesk","USR_Disabled users OU_ADD"
"ROLE_T2_Helpdesk","COMPTR_Tier 2 Workstations_RENAME"
"ROLE_T2_Helpdesk","COMPTR_Tier 2 Workstations_LOCAL ADM"
"ROLE_T2_Helpdesk","USR_Corporate Users PW_RST"
"ROLE_T2_Helpdesk","USR_Corporate Users_UNLOCK"
"ROLE_T2_Helpdesk","USR_Corporate Users_DISBL"
"ROLE_Tier 0 Admin","Protected users"
"ROLE_Tier 1 Admin","Protected users"
"ROLE_Tier 2 Admin","Protected users"
"ROLE_Tier 0 Admin","PSO_Tier 0 ADM Users_APPLY"
"ROLE_Tier 1 Admin","PSO_Tier 1 ADM Users_APPLY"
"ROLE_Tier 2 Admin","PSO_Tier 2 ADM Users_APPLY"
"ROLE_Server","CERT_RDP Certificate Template_ENROLL"
